FUNCAO,STATUS,2008,2012,2014,2016,2017,2019,2022,2025
@@CONNECTIONS,NOK,S,S,S,S,S,S,S,S
@@CPU_BUSY,NOK,S,S,S,S,S,S,S,S
@@CURSOR_ROWS,NOK,S,S,S,S,S,S,S,S
@@DATEFIRST,NOK,S,S,S,S,S,S,S,S
@@DBTS,NOK,S,S,S,S,S,S,S,S
@@ERROR,NOK,S,S,S,S,S,S,S,S
@@FETCH_STATUS,NOK,S,S,S,S,S,S,S,S
@@IDENTITY,NOK,S,S,S,S,S,S,S,S
@@IDLE,NOK,S,S,S,S,S,S,S,S
@@IO_BUSY,NOK,S,S,S,S,S,S,S,S
@@LANGID,NOK,S,S,S,S,S,S,S,S
@@LANGUAGE,NOK,S,S,S,S,S,S,S,S
@@LOCK_TIMEOUT,NOK,S,S,S,S,S,S,S,S
@@MAX_CONNECTIONS,NOK,S,S,S,S,S,S,S,S
@@MAX_PRECISION,NOK,S,S,S,S,S,S,S,S
@@NESTLEVEL,NOK,S,S,S,S,S,S,S,S
@@OPTIONS,NOK,S,S,S,S,S,S,S,S
@@PACK_RECEIVED,NOK,S,S,S,S,S,S,S,S
@@PACK_SENT,NOK,S,S,S,S,S,S,S,S
@@PACKET_ERRORS,NOK,S,S,S,S,S,S,S,S
@@PROCID,NOK,S,S,S,S,S,S,S,S
@@REMSERVER,NOK,S,S,S,S,S,S,S,S
@@ROWCOUNT,OK,S,S,S,S,S,S,S,S
@@SERVERNAME,NOK,S,S,S,S,S,S,S,S
@@SERVICENAME,NOK,S,S,S,S,S,S,S,S
@@SPID,NOK,S,S,S,S,S,S,S,S
@@TEXTSIZE,NOK,S,S,S,S,S,S,S,S
@@TIMETICKS,NOK,S,S,S,S,S,S,S,S
@@TOTAL_ERRORS,NOK,S,S,S,S,S,S,S,S
@@TOTAL_READ,NOK,S,S,S,S,S,S,S,S
@@TOTAL_WRITE,NOK,S,S,S,S,S,S,S,S
@@TRANCOUNT,NOK,S,S,S,S,S,S,S,S
@@VERSION,NOK,S,S,S,S,S,S,S,S
$PARTITION,NOK,S,S,S,S,S,S,S,S
ABS,NOK,S,S,S,S,S,S,S,S
ACOS,NOK,S,S,S,S,S,S,S,S
APP_NAME,NOK,S,S,S,S,S,S,S,S
APPLOCK_MODE,NOK,S,S,S,S,S,S,S,S
APPLOCK_TEST,NOK,S,S,S,S,S,S,S,S
APPROX_COUNT_DISTINCT,NOK,N,N,N,N,N,S,S,S
ASCII,NOK,S,S,S,S,S,S,S,S
ASIN,NOK,S,S,S,S,S,S,S,S
ASSEMBLYPROPERTY,NOK,S,S,S,S,S,S,S,S
ATAN,NOK,S,S,S,S,S,S,S,S
ATN2,NOK,S,S,S,S,S,S,S,S
AVG,OK,S,S,S,S,S,S,S,S
BINARY_CHECKSUM,NOK,S,S,S,S,S,S,S,S
BUILT-IN FUNCTIONS,NOK,S,S,S,S,S,S,S,S
CAST AND CONVERT,NOK,S,S,S,S,S,S,S,S
CEILING,NOK,S,S,S,S,S,S,S,S
